,Unnamed: 0_x,teh_mesto,Название технического места,level_upper,code,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,Unnamed: 0_y,ЗаводРасплТехОб,Ед. оборудов.,Описание,ГрупПлановик,Поле сортировки,Описание.1,МВЗ,Тип ЕО,ДатаВводЭкспл,СПП-элемент,Завод
35,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61835,1105,100000043469,Редуктор механизма поворота,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
36,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61836,1105,100000043492,Редуктор ходового механизма левый,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
37,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61837,1105,100000043514,Редуктор ходового механизма правый,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
38,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61838,1105,100000043541,Рукоять,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
39,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61839,1105,100000043570,Стрела,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
40,22155,11-RUD-BLAG-UGBL-E102,Экскаватор электрический №28,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E102,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61840,1105,100000043692,Ковш,100.0,28,Экскаватор электрический №28,1112011420.0,O,2009-11-30,,
41,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51584,1105,100000043287,Генератор постоянного тока,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
42,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51585,1105,100000043315,Генератор привода поворота,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
43,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51586,1105,100000043344,Генератор привода подъема,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
44,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51587,1105,100000043371,Генератор привода тяги,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
45,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51588,1105,100000043399,Генератор собственных нужд,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
46,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51589,1105,100000043596,ЭД асинх,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
47,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51590,1105,100000043619,ЭД асинх,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
48,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51591,1105,100000043643,ЭД асинх,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
49,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51592,1105,100000043665,ЭД асинх,200.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
50,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51593,1105,100000043723,Стенка,100.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
51,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51594,1105,100000043751,Челюсть,100.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
52,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,51595,1105,100000063336,Экскаватор электрический ЭКГ-10 №32,100.0,32,Экскаватор электрический №32,1112011420.0,O,2017-02-28,,
53,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,53962,1105,100000059235,Компьютер пром. бортовой RMB-C2 HP,600.0,74,Экскаватор электрический №32,1118011223.0,V,2017-12-31,,
54,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61955,1105,100000043424,Редуктор лебедки напора,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
55,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61956,1105,100000043448,Редуктор лебедки подъема,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
56,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61957,1105,100000043472,Редуктор механизма поворота,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
57,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61958,1105,100000043494,Редуктор ходового механизма левый,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
58,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61959,1105,100000043516,Редуктор ходового механизма правый,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
59,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61960,1105,100000043543,Рукоять,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
60,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61961,1105,100000043572,Стрела,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
61,22159,11-RUD-BLAG-UGBL-E103,Экскаватор электрический №32,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E103,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,61962,1105,100000043694,Ковш,100.0,32,Экскаватор электрический №32,1112011820.0,O,2009-11-30,,
62,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18492,1105,100000043275,Генератор постоянного тока,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
63,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18493,1105,100000043303,Генератор привода поворота,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
64,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18494,1105,100000043331,Генератор привода подъема,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
65,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18495,1105,100000043360,Генератор привода тяги,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
66,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18496,1105,100000043387,Генератор собственных нужд,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
67,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18497,1105,100000043583,ЭД асинх,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
68,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18498,1105,100000043607,ЭД асинх,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
69,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18499,1105,100000043631,ЭД асинх,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
70,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18500,1105,100000043654,ЭД асинх,200.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
71,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18501,1105,100000043710,Стенка,100.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
72,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18502,1105,100000043739,Челюсть,100.0,2,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
73,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,18503,1105,100000062743,Экскаватор электрический ЭКГ-10 №02,100.0,02,Экскаватор электрический №02,1112011420.0,O,1996-09-01,,
74,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,56543,1105,100000036869,Компьютер пром. бортовой RMB-C2 LP,600.0,УЧАСТОК АГИТО,Экскаватор электрический №02,1118011223.0,V,2019-05-10,,
75,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,60823,1105,100000043412,Редуктор лебедки напора,100.0,2,Экскаватор электрический №02,1112011420.0,O,2008-02-19,,
76,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,60846,1105,100000043437,Редуктор лебедки подъема,100.0,2,Экскаватор электрический №02,1112011420.0,O,2008-02-19,,
77,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,60848,1105,100000043459,Редуктор механизма поворота,100.0,2,Экскаватор электрический №02,1112011420.0,O,2008-02-19,,
78,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,60850,1105,100000043482,Редуктор ходового механизма левый,100.0,2,Экскаватор электрический №02,1112011420.0,O,2008-02-19,,
79,22167,11-RUD-BLAG-UGBL-E105,Экскаватор электрический №02,11-RUD-BLAG-UGBL-EG10,first11-RUD-BLAG-UGBL-E105,first11,RUD,BLAG,UGBL,no_data,no_data,no_data,no_data,60854,1105,100000043505,Редуктор ходового механизма правый,100.0,2,Экскаватор электрический №02,1112011420.0,O,2008-02-19,,
